timestamp,open,high,low,close,volume,currency_volume,turnover,trades,time_iso,ohlc,is_closed,funding_rate,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,ATR,Stoch_K,Stoch_D,Williams_R,CCI,VWAP,Volume_RSI,OBV,Momentum,ROC,RSI_Oversold,RSI_Overbought,MACD_Bullish,MACD_Bearish,BB_Squeeze,BB_Breakout_Upper,BB_Breakout_Lower
1757563200000,114384.1,114395.1,114056.1,114136.2,180350,157.9597,18035000,1,2025-09-11T04:00:00Z,"{'open': 114384.1, 'high': 114395.1, 'low': 114056.1, 'close': 114136.2}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,180350,,,False,False,False,False,False,False,False
1757566800000,114138.5,114313.0,113934.0,114243.3,175865,154.1329,17586500,1,2025-09-11T05:00:00Z,"{'open': 114138.5, 'high': 114313.0, 'low': 113934.0, 'close': 114243.3}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,356215,,,False,False,False,False,False,False,False
1757570400000,114243.3,114449.0,114050.8,114308.0,205021,179.3794,20502100,1,2025-09-11T06:00:00Z,"{'open': 114243.3, 'high': 114449.0, 'low': 114050.8, 'close': 114308.0}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,561236,,,False,False,False,False,False,False,False
1757574000000,114311.5,114315.3,113932.3,114076.4,241214,211.503,24121400,1,2025-09-11T07:00:00Z,"{'open': 114311.5, 'high': 114315.3, 'low': 113932.3, 'close': 114076.4}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,320022,,,False,False,False,False,False,False,False
1757577600000,114076.5,114183.8,113947.2,114037.5,174520,153.0093,17452000,1,2025-09-11T08:00:00Z,"{'open': 114076.5, 'high': 114183.8, 'low': 113947.2, 'close': 114037.5}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,145502,,,False,False,False,False,False,False,False
1757581200000,114037.6,114069.0,113764.7,113878.7,230325,202.2442,23032500,1,2025-09-11T09:00:00Z,"{'open': 114037.6, 'high': 114069.0, 'low': 113764.7, 'close': 113878.7}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-84823,,,False,False,False,False,False,False,False
1757584800000,113878.7,114098.9,113870.8,114045.7,135569,118.9497,13556900,1,2025-09-11T10:00:00Z,"{'open': 113878.7, 'high': 114098.9, 'low': 113870.8, 'close': 114045.7}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,50746,,,False,False,False,False,False,False,False
1757588400000,114043.0,114103.3,113888.1,114003.0,142224,124.8089,14222400,1,2025-09-11T11:00:00Z,"{'open': 114043.0, 'high': 114103.3, 'low': 113888.1, 'close': 114003.0}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-91478,,,False,False,False,False,False,False,False
1757592000000,114003.0,114494.8,113358.0,113955.9,1451263,1274.4835,145126300,1,2025-09-11T12:00:00Z,"{'open': 114003.0, 'high': 114494.8, 'low': 113358.0, 'close': 113955.9}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-1542741,,,False,False,False,False,False,False,False
1757595600000,113955.9,114697.0,113400.7,114615.6,846891,743.1899,84689100,1,2025-09-11T13:00:00Z,"{'open': 113955.9, 'high': 114697.0, 'low': 113400.7, 'close': 114615.6}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-695850,,,False,False,False,False,False,False,False
1757599200000,114619.0,114661.7,113915.7,114448.9,398093,348.2055,39809300,1,2025-09-11T14:00:00Z,"{'open': 114619.0, 'high': 114661.7, 'low': 113915.7, 'close': 114448.9}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-1093943,312.6999999999971,,False,False,False,False,False,False,False
1757602800000,114435.2,114666.0,113969.1,114151.1,218924,191.5149,21892400,1,2025-09-11T15:00:00Z,"{'open': 114435.2, 'high': 114666.0, 'low': 113969.1, 'close': 114151.1}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-1312867,-92.19999999999709,,False,False,False,False,False,False,False
1757606400000,114151.1,114563.3,114151.0,114469.1,150336,131.418,15033600,1,2025-09-11T16:00:00Z,"{'open': 114151.1, 'high': 114563.3, 'low': 114151.0, 'close': 114469.1}",True,5.34131179406e-05,,,,,,,,,,0.0,,,,,,,-1162531,161.10000000000582,0.2916690760687746,False,False,False,False,False,False,False
1757610000000,114469.1,114592.8,114301.5,114576.2,101926,89.0002,10192600,1,2025-09-11T17:00:00Z,"{'open': 114469.1, 'high': 114592.8, 'low': 114301.5, 'close': 114576.2}",True,5.34131179406e-05,61.442913124357844,,,,,,,,,504.5,90.978342046303,,-9.021657953697005,,114117.16381978717,45.34906011127095,-1060605,499.8000000000029,0.29139564420845177,False,False,False,False,False,False,False
1757613600000,114576.1,114599.0,114062.3,114293.4,189806,166.1353,18980600,1,2025-09-11T18:00:00Z,"{'open': 114576.1, 'high': 114599.0, 'low': 114062.3, 'close': 114293.4}",True,5.34131179406e-05,52.25974585466514,,,,,,,,,506.7999999999998,69.85810306198613,,-30.14189693801388,,114122.30802469997,47.66702034470403,-1250411,255.89999999999418,-0.01277250936067976,False,False,False,False,False,False,False
1757617200000,114293.4,114517.5,114156.9,114400.7,125590,109.8515,12559000,1,2025-09-11T19:00:00Z,"{'open': 114293.4, 'high': 114517.5, 'low': 114156.9, 'close': 114400.7}",True,5.34131179406e-05,55.00742815272194,,,,,,,,,496.35714285714306,77.87154592979815,79.56933034602909,-22.12845407020186,,114127.16829156928,46.127428935231244,-1124821,522.0,0.2842831646159968,False,False,False,False,False,False,False
1757620800000,114409.8,114482.0,114236.9,114384.9,83476,73.0085,8347600,1,2025-09-11T20:00:00Z,"{'open': 114409.8, 'high': 114482.0, 'low': 114236.9, 'close': 114384.9}",True,5.34131179406e-05,54.50992093063624,,,,,,,,,478.41020408163325,76.69156086631772,74.80706995270066,-23.30843913368229,,114125.15610172057,45.09865722891508,-1208297,339.1999999999971,0.3046366326866111,False,False,False,False,False,False,False
1757624400000,114384.9,114517.9,114384.9,114479.2,88064,76.9465,8806400,1,2025-09-11T21:00:00Z,"{'open': 114384.9, 'high': 114517.9, 'low': 114384.9, 'close': 114479.2}",True,5.34131179406e-05,57.00908096874529,,,,,,,,,453.7380466472309,83.73412994772197,79.43241224794595,-16.265870052278036,,114132.922908256,45.24193850084525,-1120233,476.1999999999971,0.5273154681252947,False,False,False,False,False,False,False
1757628000000,114475.1,115255.9,114413.0,115078.8,460854,400.8901,46085400,1,2025-09-11T22:00:00Z,"{'open': 114475.1, 'high': 115255.9, 'low': 114413.0, 'close': 115078.8}",True,5.34131179406e-05,68.76100636023008,,,,,,,,,481.53532902957113,90.66863375309596,83.69810818904521,-9.331366246904041,,114213.8673213808,55.422041371776096,-659379,1122.9000000000087,0.9058649295852504,False,False,False,False,False,False,False
1757631600000,115076.0,115478.9,115076.0,115478.8,290433,251.8393,29043300,1,2025-09-11T23:00:00Z,"{'open': 115076.0, 'high': 115478.9, 'low': 115076.0, 'close': 115478.8}",True,5.34131179406e-05,73.88891486515126,,,,115106.1822946812,114353.06999999999,113599.95770531878,1506.2245893624204,1.2473852225958733,475.9185198131728,99.99528502051058,91.46601624044284,-0.00471497948942756,309.7224211179543,114299.21721709792,50.774793806379236,-368946,863.1999999999971,1.2945273369999062,False,True,False,False,False,True,False
1757635200000,115478.8,116315.2,115409.2,115832.4,1038418,896.5701,103841800,1,2025-09-12T00:00:00Z,"{'open': 115478.8, 'high': 116315.2, 'low': 115409.2, 'close': 115832.4}",True,5.34131179406e-05,77.41786260376414,,,,115421.0809532135,114437.87999999998,113454.67904678645,1966.4019064270542,1.2091734377606747,506.63862554080333,83.67374543487071,91.44588806949241,-16.32625456512929,312.3567758372816,114595.04518069033,64.74697345696057,669472,1383.5,1.6466896404661806,False,True,False,False,False,True,False
1757638800000,115837.7,116003.7,115355.7,115368.9,655679,566.8525,65567900,1,2025-09-12T01:00:00Z,"{'open': 115837.7, 'high': 116003.7, 'low': 115355.7, 'close': 115368.9}",True,5.34131179406e-05,65.01418200888256,,,,115552.36684821069,114494.16,113435.95315178932,2116.4136964213685,0.9133123885368364,516.7358665736031,68.00013526308658,83.88972190615596,-31.999864736913427,191.77168251568096,114714.4192329591,55.98951937159474,13793,1217.7999999999884,0.6572403756556597,False,False,False,False,False,False,False
1757642400000,115369.0,115656.9,115213.5,115395.7,320563,277.6861,32056300,1,2025-09-12T02:00:00Z,"{'open': 115369.0, 'high': 115656.9, 'low': 115213.5, 'close': 115395.7}",True,5.34131179406e-05,65.35977099313217,,,,115672.64223151513,114548.545,113424.44776848487,2248.1944630302605,0.8768157132004271,511.49759038977385,68.45084920226454,73.3749099667406,-31.54915079773546,133.31269924028385,114987.34594597804,49.65648946529855,334356,926.5999999999913,0.8272687636141571,False,False,False,False,False,False,False
1757646000000,115390.2,115425.3,115038.4,115185.7,281395,244.2718,28139500,1,2025-09-12T03:00:00Z,"{'open': 115390.2, 'high': 115425.3, 'low': 115038.4, 'close': 115185.7}",True,5.34131179406e-05,60.33083210923255,,,,115738.86604355795,114604.01000000001,113469.15395644207,2269.712087115884,0.7562836067631553,502.59776250479064,52.92769326943113,63.12622591159408,-47.07230673056887,87.73905588137809,115146.1460638449,48.95944228083407,52961,609.5,0.9063425582407802,False,False,False,False,False,False,False
