timestamp,open,high,low,close,volume,time_iso,ohlc,is_closed,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,ATR,Williams_R,CCI,VWAP,Volume_RSI,OBV,Momentum,ROC
1757779200000,115786.7,115836.8,115126.0,115354.2,0,2025-09-13T16:00:00Z,"{'open': 115786.7, 'high': 115836.8, 'low': 115126.0, 'close': 115354.2}",True,,,,,,,,,,0.0,,,,,0,,
1757692800000,115092.0,116711.2,114996.6,115786.7,1,2025-09-12T16:00:00Z,"{'open': 115092.0, 'high': 116711.2, 'low': 114996.6, 'close': 115786.7}",True,,,,,,,,,,0.0,,,,,1,,
1757606400000,114154.8,116311.6,114081.1,115092.0,1,2025-09-11T16:00:00Z,"{'open': 114154.8, 'high': 116311.6, 'low': 114081.1, 'close': 115092.0}",True,,,,,,,,,,0.0,,,,,0,,
1757520000000,113830.7,114713.1,113112.2,114154.8,1,2025-09-10T16:00:00Z,"{'open': 113830.7, 'high': 114713.1, 'low': 113112.2, 'close': 114154.8}",True,,,,,,,,,,0.0,,,,,-1,,
1757433600000,110830.9,114292.3,110735.7,113830.7,1,2025-09-09T16:00:00Z,"{'open': 110830.9, 'high': 114292.3, 'low': 110735.7, 'close': 113830.7}",True,,,,,,,,,,0.0,,,,,-2,,
1757347200000,112587.6,113255.8,110722.2,110830.9,1,2025-09-08T16:00:00Z,"{'open': 112587.6, 'high': 113255.8, 'low': 110722.2, 'close': 110830.9}",True,,,,,,,,,,0.0,,,,,-3,,
1757260800000,111278.4,112877.7,110558.4,112587.5,1,2025-09-07T16:00:00Z,"{'open': 111278.4, 'high': 112877.7, 'low': 110558.4, 'close': 112587.5}",True,,,,,,,,,,0.0,,,,,-2,,
1757174400000,110345.9,111374.0,109931.9,111278.5,1,2025-09-06T16:00:00Z,"{'open': 110345.9, 'high': 111374.0, 'low': 109931.9, 'close': 111278.5}",True,,,,,,,,,,0.0,,,,,-3,,
1757088000000,110678.0,111657.1,110148.9,110345.9,1,2025-09-05T16:00:00Z,"{'open': 110678.0, 'high': 111657.1, 'low': 110148.9, 'close': 110345.9}",True,,,,,,,,,,0.0,,,,,-4,,
1757001600000,109484.0,113362.6,109320.9,110677.1,1,2025-09-04T16:00:00Z,"{'open': 109484.0, 'high': 113362.6, 'low': 109320.9, 'close': 110677.1}",True,,,,,,,,,,0.0,,,,,-3,,
1756915200000,112196.3,112581.1,109293.5,109484.3,1,2025-09-03T16:00:00Z,"{'open': 112196.3, 'high': 112581.1, 'low': 109293.5, 'close': 109484.3}",True,,,,,,,,,,0.0,,,,,-4,-5869.899999999994,
1756828800000,110794.8,112501.5,110152.4,112196.3,1,2025-09-02T16:00:00Z,"{'open': 110794.8, 'high': 112501.5, 'low': 110152.4, 'close': 112196.3}",True,,,,,,,,,,0.0,,,,,-3,-3590.399999999994,
1756742400000,108751.1,111740.5,107420.4,110794.8,1,2025-09-01T16:00:00Z,"{'open': 108751.1, 'high': 111740.5, 'low': 107420.4, 'close': 110794.8}",True,,,,,,,,,,0.0,,,,,-4,-4297.199999999997,-3.95252188476882
1756656000000,108765.7,109890.5,107227.7,108751.1,1,2025-08-31T16:00:00Z,"{'open': 108765.7, 'high': 109890.5, 'low': 107227.7, 'close': 108751.1}",True,31.29101277314723,,,,,,,,,2748.1000000000035,-83.93631043391143,,111917.47435897436,100.0,-5,-5403.699999999997,-6.076345556095814
1756569600000,108854.3,109456.0,108153.7,108765.7,1,2025-08-30T16:00:00Z,"{'open': 108854.3, 'high': 109456.0, 'low': 108153.7, 'close': 108765.7}",True,31.379669471435378,,,,,,,,,2644.828571428575,-83.78235883376391,,111694.21190476192,100.0,-4,-5065.0,-5.496733048343936
1756483200000,108356.0,108891.1,107295.2,108854.3,1,2025-08-29T16:00:00Z,"{'open': 108356.0, 'high': 108891.1, 'low': 107295.2, 'close': 108854.3}",True,31.953481261565287,,,,,,,,,2569.90510204082,-82.09359416109815,,111159.59523809524,100.0,-3,-1976.5999999999913,-4.6432563501490955
1756396800000,112666.1,113200.4,108046.2,108356.2,1,2025-08-28T16:00:00Z,"{'open': 112666.1, 'high': 113200.4, 'low': 108046.2, 'close': 108356.2}",True,30.413718922582632,,,,,,,,,2754.49759475219,-84.92398535816392,,110781.45476190477,100.0,-4,-4231.300000000003,-4.8093352671994465
1756310400000,112002.6,113473.3,110819.4,112666.1,1,2025-08-27T16:00:00Z,"{'open': 112002.6, 'high': 113473.3, 'low': 110819.4, 'close': 112666.1}",True,51.97718129112372,,,,,,,,,2923.2549094127485,-23.018996121507172,,110661.90000000001,100.0,-3,1387.6000000000058,1.655855903001791
1756224000000,109634.7,112617.5,109414.3,112002.6,1,2025-08-26T16:00:00Z,"{'open': 109634.7, 'high': 112617.5, 'low': 109414.3, 'close': 112002.6}",True,49.437329981396964,,,,,,,,,2946.7224158832664,-23.547777635455294,,110547.03571428571,100.0,-4,1656.7000000000116,-0.5195070500721609
1756137600000,112158.6,112918.8,108660.0,109634.7,1,2025-08-25T16:00:00Z,"{'open': 112158.6, 'high': 112918.8, 'low': 108660.0, 'close': 109634.7}",True,41.62081352138583,,,,116138.40956969594,111572.22,107006.03043030406,9132.37913939188,0.28784060862709404,3040.442243320176,-61.460868451389814,-46.39580481362984,110461.43095238095,100.0,-5,-1042.4000000000087,-1.4771946063255732
1756051200000,114409.8,114916.6,110500.6,112158.4,1,2025-08-24T16:00:00Z,"{'open': 114409.8, 'high': 114916.6, 'low': 110500.6, 'close': 112158.4}",True,50.58788683365578,,,,115649.88237901263,111412.42999999998,107174.97762098732,8474.90475802531,0.5880210481768092,3200.546368797307,-35.8724915137407,48.275597960558926,110498.38333333333,100.0,-4,2674.0999999999913,1.6425621613489945
1755964800000,114787.1,115650.8,114341.8,114409.9,1,2025-08-23T16:00:00Z,"{'open': 114787.1, 'high': 115650.8, 'low': 114341.8, 'close': 114409.9}",True,56.942133828962646,,,,115331.96868758724,111343.59000000001,107355.21131241278,7976.757375174464,0.8844055743180879,3221.393056740357,-14.732105756787975,156.35818542738335,110779.76666666668,100.0,-3,2213.5999999999913,3.3726940803472334
1755878400000,116335.8,117408.8,114511.2,114787.2,1,2025-08-22T16:00:00Z,"{'open': 116335.8, 'high': 117408.8, 'low': 114511.2, 'close': 114787.2}",True,57.91873884165048,,,,115261.26367639822,111328.35,107395.4363236018,7865.827352796419,0.9397312380331254,3205.5006955446183,-25.749673414464098,187.61101274110388,111126.32142857143,100.0,-2,3992.399999999994,4.843525510050294
1755792000000,112756.8,117285.2,111614.6,116335.8,1,2025-08-21T16:00:00Z,"{'open': 112756.8, 'high': 117285.2, 'low': 111614.6, 'close': 116335.8}",True,61.75315458509164,,,,115777.60616514931,111437.4,107097.19383485068,8680.412330298626,1.064304990778185,3381.5792172914307,-10.53913624264568,156.81273126077784,111409.05952380954,100.0,-1,7584.699999999997,3.6895156079122042
1755705600000,113308.3,114791.5,112564.9,112756.6,1,2025-08-20T16:00:00Z,"{'open': 113308.3, 'high': 114791.5, 'low': 112564.9, 'close': 112756.6}",True,50.33679997158269,,,,115629.67349710758,111383.69499999999,107137.7165028924,8491.956994215172,0.6616712144132681,3409.387844627758,-45.694473092298416,80.92025501314401,111617.49047619048,100.0,-2,3990.9000000000087,1.770660716928956
1755619200000,113729.0,114288.7,112310.0,113308.0,1,2025-08-19T16:00:00Z,"{'open': 113729.0, 'high': 114288.7, 'low': 112310.0, 'close': 113308.0}",True,51.81471086452167,109.85800910832768,,,115825.7031512905,111507.55,107189.39684870951,8636.306302580982,0.708474541883945,3307.1958557257753,-40.27855536238717,70.18591651192358,111737.88333333333,100.0,-1,4453.699999999997,4.190210489824925
1755532800000,116144.5,116996.1,113527.8,113728.7,1,2025-08-18T16:00:00Z,"{'open': 116144.5, 'high': 116996.1, 'low': 113527.8, 'close': 113728.7}",True,52.964788311426815,178.09624708097544,,,115967.6619333299,111564.61000000002,107161.55806667013,8806.103866659774,0.7457488615587768,3334.4032946025063,-36.146388897074026,112.16771571201195,112078.28571428571,100.0,0,5372.5,4.563019407772855
1755446400000,118253.9,118333.9,114653.9,116144.5,1,2025-08-17T16:00:00Z,"{'open': 118253.9, 'high': 118333.9, 'low': 114653.9, 'close': 116144.5}",True,59.01427332856163,422.24305749166524,,,116637.89897137458,111807.91,106977.92102862542,9659.97794274916,0.9489233853018337,3425.174487845184,-19.833857247683103,144.2300489463757,112632.16666666666,100.0,1,3478.399999999994,6.69720902160043
1755360000000,117697.6,118593.2,117175.6,118253.9,1,2025-08-16T16:00:00Z,"{'open': 117697.6, 'high': 118593.2, 'low': 117175.6, 'close': 118253.9}",True,63.436361131149056,776.9855094374652,,,117733.77938257503,112203.30999999998,106672.84061742494,11060.938765150087,1.0470231893032191,3355.4263101419565,-3.003186404673419,166.01986881096272,113290.4357142857,100.0,2,6251.299999999988,9.134410398297463
1755273600000,117273.2,117916.6,116780.9,117697.6,1,2025-08-15T16:00:00Z,"{'open': 117273.2, 'high': 117916.6, 'low': 116780.9, 'close': 117697.6}",True,61.55028342894683,1001.6858862105291,,,118526.33621543022,112554.335,106582.3337845698,11944.002430860419,0.9306148654751647,3220.9672879889595,-8.491514174646737,129.05970598016668,113941.73333333335,100.0,1,8062.900000000009,4.465850863746948
1755187200000,118286.6,119292.3,116800.2,117273.0,1,2025-08-14T16:00:00Z,"{'open': 118286.6, 'high': 119292.3, 'low': 116800.2, 'close': 117273.0}",True,60.08196232848158,1132.446741104388,,,119077.79779064456,112943.76999999999,106809.74220935542,12268.05558128914,0.8528864025202836,3168.9053388468915,-18.99212776163203,120.75841042055126,114507.51190476191,100.0,0,5114.600000000006,4.705605048454227
