timestamp,open,high,low,close,volume,currency_volume,turnover,trades,time_iso,ohlc,is_closed,funding_rate,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,ATR,Stoch_K,Stoch_D,Williams_R,CCI,VWAP,Volume_RSI,OBV,Momentum,ROC,RSI_Oversold,RSI_Overbought,MACD_Bullish,MACD_Bearish,BB_Squeeze,BB_Breakout_Upper,BB_Breakout_Lower
1757782200000,115271.0,115429.0,115262.9,115349.3,126182,109.4236,12618200,1,2025-09-13T16:50:00Z,"{'open': 115271.0, 'high': 115429.0, 'low': 115262.9, 'close': 115349.3}",True,0.0001,,,,,,,,,,0.0,,,,,,,126182,,,False,False,False,False,False,False,False
1757782500000,115363.4,115421.1,115333.0,115342.4,8007,6.9409,800700,1,2025-09-13T16:55:00Z,"{'open': 115363.4, 'high': 115421.1, 'low': 115333.0, 'close': 115342.4}",True,0.0001,,,,,,,,,,0.0,,,,,,,118175,,,False,False,False,False,False,False,False
1757782800000,115344.6,115413.5,115180.0,115303.0,65892,57.1355,6589200,1,2025-09-13T17:00:00Z,"{'open': 115344.6, 'high': 115413.5, 'low': 115180.0, 'close': 115303.0}",True,0.0001,,,,,,,,,,0.0,,,,,,,52283,,,False,False,False,False,False,False,False
1757783100000,115303.0,115351.1,115197.2,115238.8,14724,12.7741,1472400,1,2025-09-13T17:05:00Z,"{'open': 115303.0, 'high': 115351.1, 'low': 115197.2, 'close': 115238.8}",True,0.0001,,,,,,,,,,0.0,,,,,,,37559,,,False,False,False,False,False,False,False
1757783400000,115238.8,115333.3,115212.9,115235.2,19078,16.5524,1907800,1,2025-09-13T17:10:00Z,"{'open': 115238.8, 'high': 115333.3, 'low': 115212.9, 'close': 115235.2}",True,0.0001,,,,,,,,,,0.0,,,,,,,18481,,,False,False,False,False,False,False,False
1757783700000,115235.1,115363.5,115235.1,115363.5,7507,6.5096,750700,1,2025-09-13T17:15:00Z,"{'open': 115235.1, 'high': 115363.5, 'low': 115235.1, 'close': 115363.5}",True,0.0001,,,,,,,,,,0.0,,,,,,,25988,,,False,False,False,False,False,False,False
1757784000000,115363.5,115456.9,115363.5,115449.0,15538,13.465,1553800,1,2025-09-13T17:20:00Z,"{'open': 115363.5, 'high': 115456.9, 'low': 115363.5, 'close': 115449.0}",True,0.0001,,,,,,,,,,0.0,,,,,,,41526,,,False,False,False,False,False,False,False
1757784300000,115448.9,115468.2,115400.4,115400.4,13684,11.8536,1368400,1,2025-09-13T17:25:00Z,"{'open': 115448.9, 'high': 115468.2, 'low': 115400.4, 'close': 115400.4}",True,0.0001,,,,,,,,,,0.0,,,,,,,27842,,,False,False,False,False,False,False,False
1757784600000,115400.4,115570.2,115400.4,115550.8,34695,30.0489,3469500,1,2025-09-13T17:30:00Z,"{'open': 115400.4, 'high': 115570.2, 'low': 115400.4, 'close': 115550.8}",True,0.0001,,,,,,,,,,0.0,,,,,,,62537,,,False,False,False,False,False,False,False
1757784900000,115550.8,115550.8,115503.7,115510.6,4860,4.2069,486000,1,2025-09-13T17:35:00Z,"{'open': 115550.8, 'high': 115550.8, 'low': 115503.7, 'close': 115510.6}",True,0.0001,,,,,,,,,,0.0,,,,,,,57677,,,False,False,False,False,False,False,False
1757785200000,115511.0,115559.2,115503.5,115535.7,3276,2.8354,327600,1,2025-09-13T17:40:00Z,"{'open': 115511.0, 'high': 115559.2, 'low': 115503.5, 'close': 115535.7}",True,0.0001,,,,,,,,,,0.0,,,,,,,60953,186.39999999999418,,False,False,False,False,False,False,False
1757785500000,115528.7,115595.2,115518.6,115584.5,5415,4.6864,541500,1,2025-09-13T17:45:00Z,"{'open': 115528.7, 'high': 115595.2, 'low': 115518.6, 'close': 115584.5}",True,0.0001,,,,,,,,,,0.0,,,,,,,66368,242.10000000000582,,False,False,False,False,False,False,False
1757785800000,115589.4,115595.4,115583.7,115583.7,2790,2.4135,279000,1,2025-09-13T17:50:00Z,"{'open': 115589.4, 'high': 115595.4, 'low': 115583.7, 'close': 115583.7}",True,0.0001,,,,,,,,,,0.0,,,,,,,63578,280.6999999999971,0.20320886212572956,False,False,False,False,False,False,False
1757786100000,115583.7,115583.8,115575.4,115575.4,1721,1.4895,172100,1,2025-09-13T17:55:00Z,"{'open': 115583.7, 'high': 115583.8, 'low': 115575.4, 'close': 115575.4}",True,0.0001,70.09322316632613,,,,,,,,,101.49285714285881,95.1853635050553,,-4.8146364949447,,115363.6384954443,31.30399931457623,61857,336.59999999999127,0.20200724104925855,False,True,False,False,False,False,False
1757786400000,115575.4,115575.4,115503.5,115503.5,3798,3.2886,379800,1,2025-09-13T18:00:00Z,"{'open': 115575.4, 'high': 115575.4, 'low': 115503.5, 'close': 115503.5}",True,0.0001,58.972689683544495,,,,,,,,,99.37908163265419,77.87674530573051,,-22.12325469426949,,115377.13843769436,32.27216604539481,58059,268.3000000000029,0.1738896646227765,False,False,False,False,False,False,False
1757786700000,115500.0,115542.8,115445.2,115539.3,15947,13.8114,1594700,1,2025-09-13T18:05:00Z,"{'open': 115500.0, 'high': 115542.8, 'low': 115445.2, 'close': 115539.3}",True,0.0001,62.189331930046755,,,,,,,,,99.2520043731793,86.49494463168222,86.51901781415602,-13.505055368317779,,115387.65694914444,37.79465811492541,74006,175.8000000000029,0.2607628680617986,False,False,False,False,False,False,False
1757787000000,115535.9,115582.2,115535.9,115578.7,2353,2.0368,235300,1,2025-09-13T18:10:00Z,"{'open': 115535.9, 'high': 115582.2, 'low': 115535.9, 'close': 115578.7}",True,0.0001,65.40411747966024,,,,,,,,,95.46971834652383,95.80612757408407,86.72593917049893,-4.193872425915925,,115430.79360392335,34.4133391103355,76359,129.6999999999971,0.29808600149954184,False,False,False,False,False,False,False
1757787300000,115578.7,115578.7,115532.2,115532.2,1534,1.3286,153400,1,2025-09-13T18:15:00Z,"{'open': 115578.7, 'high': 115578.7, 'low': 115532.2, 'close': 115532.2}",True,0.0001,59.02560355943884,,,,,,,,,91.97188132177213,83.47712418300729,88.5927321295912,-16.522875816992702,,115450.90958803594,34.214734094287266,74825,131.8000000000029,0.1462334273838754,False,False,False,False,False,False,False
1757787600000,115530.2,115571.4,115530.2,115571.4,799,0.6914,79900,1,2025-09-13T18:20:00Z,"{'open': 115530.2, 'high': 115571.4, 'low': 115530.2, 'close': 115571.4}",True,0.0001,62.35834008920068,,,,,,,,,88.34531837021677,93.33888426311385,90.8740453400684,-6.661115736886144,,115483.55238024176,34.02495469168238,75624,20.59999999999127,0.1060208403710679,False,False,False,False,False,False,False
1757787900000,115577.0,115675.4,115577.0,115660.9,8784,7.5973,878400,1,2025-09-13T18:25:00Z,"{'open': 115577.0, 'high': 115675.4, 'low': 115577.0, 'close': 115660.9}",True,0.0001,68.63171019460103,,,,115716.14750721058,115470.415,115224.6824927894,491.46501442117733,0.887586083262395,89.46350991520129,95.35107406219933,90.72236083610682,-4.648925937800664,110.00919042649795,115505.92464885324,38.04546580496546,84408,150.29999999998836,0.22573578601114036,False,False,False,False,False,False,False
1757788200000,115660.8,115660.8,115530.0,115530.0,15334,13.2678,1533400,1,2025-09-13T18:30:00Z,"{'open': 115660.8, 'high': 115660.8, 'low': 115530.0, 'close': 115530.0}",True,0.0001,54.36164315270009,,,,115719.93751734757,115479.45,115238.96248265242,480.97503469514777,0.6050990100391439,92.42325920697222,47.12727272727484,78.60574368419601,-52.87272727272516,63.88612764598062,115526.13636548106,41.21032015266095,69074,-5.69999999999709,-0.018000740799720045,False,False,False,False,False,False,False
1757788500000,115530.1,115553.2,115530.1,115553.2,1036,0.8964,103600,1,2025-09-13T18:35:00Z,"{'open': 115530.1, 'high': 115553.2, 'low': 115530.1, 'close': 115553.2}",True,0.0001,56.10369925377988,,,,115723.91552575552,115489.98999999999,115256.06447424446,467.85105151106836,0.6351071025614891,87.47874069218828,55.56363636363742,66.01399438437053,-44.43636363636258,41.46280914185154,115540.12259548051,36.79204066703925,70110,-31.30000000000291,0.03687973224967342,False,False,False,False,False,False,False
1757788800000,115553.3,115603.6,115553.3,115603.5,939,0.8125,93900,1,2025-09-13T18:40:00Z,"{'open': 115553.3, 'high': 115603.6, 'low': 115553.3, 'close': 115603.5}",True,0.0001,59.69578949887247,,,,115727.28060935061,115505.01499999998,115282.74939064936,444.53121870124596,0.7215479945092529,84.83025921417546,68.76629018245218,57.152399757788146,-31.233709817547822,69.26082709215682,115557.44963792415,36.76324400512487,71049,19.80000000000291,0.05868316026994506,False,False,False,False,False,False,False
1757789100000,115603.5,115628.1,115585.1,115628.1,7409,6.4101,740900,1,2025-09-13T18:45:00Z,"{'open': 115603.5, 'high': 115628.1, 'low': 115585.1, 'close': 115628.1}",True,0.0001,61.36110240876465,,,,115716.16295281536,115524.48000000001,115332.79704718466,383.3659056306933,0.7702900766032524,81.84238355602007,79.45264986968334,67.92752547192431,-20.547350130316662,93.69803598762375,115565.75772966894,40.129288995964934,78458,52.70000000001164,0.03772132076533257,False,False,False,False,False,False,False
1757789400000,115628.1,115638.4,115628.1,115638.4,1359,1.1752,135900,1,2025-09-13T18:50:00Z,"{'open': 115628.1, 'high': 115638.4, 'low': 115628.1, 'close': 115638.4}",True,0.0001,62.067810626603574,,,,115689.46962956525,115544.63999999998,115399.81037043472,289.659259130538,0.8236906711749732,76.73221330201781,83.9270199826236,77.38198667825304,-16.0729800173764,119.89620304304262,115568.67639920252,38.08768865567588,79817,134.89999999999418,0.04732501209080267,False,False,False,False,False,False,False
1757789700000,115638.4,115648.0,115638.4,115648.0,215,0.186,21500,1,2025-09-13T18:55:00Z,"{'open': 115638.4, 'high': 115648.0, 'low': 115638.4, 'close': 115648.0}",True,0.0001,62.75162996609889,60.90637504373444,,,115684.32629721958,115558.86499999999,115433.4037027804,250.9225944391801,0.8552290705395775,71.93705520901696,88.09730668983731,83.82565884738142,-11.902693310162697,134.05952610000134,115569.14998125526,37.69714191111477,80032,108.69999999999709,0.06281613561363908,False,False,False,False,False,False,False
1757790000000,115649.3,115668.2,115649.3,115662.4,2397,2.0727,239700,1,2025-09-13T19:00:00Z,"{'open': 115649.3, 'high': 115668.2, 'low': 115649.3, 'close': 115662.4}",True,0.0001,63.80565313084766,62.46671762311598,,,115692.07061563898,115569.53499999999,115446.999384361,245.07123127797968,0.878930646064573,68.24155126551554,94.35273675065153,88.79235447437081,-5.647263249348464,148.01591992753336,115571.76235127702,38.9823031535142,82429,83.69999999999709,0.13757158873973013,False,False,False,False,False,False,False
1757790300000,115662.4,115662.4,115590.5,115610.9,2934,2.5375,293400,1,2025-09-13T19:05:00Z,"{'open': 115662.4, 'high': 115662.4, 'low': 115590.5, 'close': 115610.9}",True,0.0001,57.53510881151685,58.86907471380255,,,115675.93886941359,115580.05999999998,115484.18113058638,191.75773882720387,0.6608279289724077,68.50286903226402,71.98088618592493,84.81030987547125,-28.019113814075073,79.17604469406665,115573.83160800765,39.314076761708236,79495,78.69999999999709,0.06197025600812128,False,False,False,False,False,False,False
1757790600000,115613.6,115678.8,115608.2,115625.2,6664,5.7641,666400,1,2025-09-13T19:10:00Z,"{'open': 115613.6, 'high': 115678.8, 'low': 115608.2, 'close': 115625.2}",True,0.0001,58.74741071720265,56.5202767111914,,,115680.59786198853,115583.78,115486.96213801147,193.63572397705866,0.7139068099071717,68.65266410138842,77.05479452054603,81.1294724857075,-22.945205479453975,95.8473517394667,115582.68948658869,41.68588169552444,86159,53.80000000000291,0.04023232654459689,False,False,False,False,False,False,False
1757790900000,115625.1,115632.3,115605.7,115605.7,5346,4.6237,534600,1,2025-09-13T19:15:00Z,"{'open': 115625.1, 'high': 115632.3, 'low': 115605.7, 'close': 115605.7}",True,0.0001,56.38357840656461,52.480389082833426,,,115679.68483872742,115588.535,115497.38516127258,182.29967745483737,0.5941581479443157,65.6489023798611,50.87365591397555,66.63644554014884,-49.12634408602445,49.712569479356155,115606.22497416948,41.07499622101862,80813,-55.19999999999709,0.06361862753414199,False,False,False,False,False,False,False
1757791200000,115605.7,115639.6,115582.6,115639.6,1190,1.03,119000,1,2025-09-13T19:20:00Z,"{'open': 115605.7, 'high': 115639.6, 'low': 115582.6, 'close': 115639.6}",True,0.0001,59.439099546061,51.421441350263194,,,115684.0824233213,115593.72999999998,115503.37757667866,180.7048466426495,0.753839345497656,65.03112363844245,73.6559139784971,67.19478813767289,-26.344086021502907,53.63942268528456,115608.23957633178,39.12783702555431,82003,109.60000000000582,0.05901113943416074,False,False,False,False,False,False,False
1757791500000,115639.6,115675.3,115639.6,115655.1,2960,2.5596,296000,1,2025-09-13T19:25:00Z,"{'open': 115639.6, 'high': 115675.3, 'low': 115639.6, 'close': 115655.1}",True,0.0001,60.79158086790582,51.24224935066013,,,115691.33408569865,115597.25999999998,115503.18591430131,188.1481713973335,0.8074172848476876,62.9360433785535,84.07258064516355,69.53405017921206,-15.927419354836442,105.9917234947758,115612.35720519704,40.42317673946452,84963,101.90000000000873,-0.00501465923228019,False,False,False,False,False,False,False
1757791800000,115655.1,115715.2,115655.1,115715.2,3097,2.6772,309700,1,2025-09-13T19:30:00Z,"{'open': 115655.1, 'high': 115715.2, 'low': 115655.1, 'close': 115715.2}",True,0.0001,65.58358104366819,55.31220149513683,,,115710.70971684194,115603.835,115496.96028315807,213.74943368387176,1.021007228326489,62.733468851513344,100.0,85.90949820788688,-0.0,148.35946763314854,115617.38802181103,40.52866511823985,88060,111.69999999999709,0.1603046827663785,False,False,False,False,False,True,False
1757792100000,115715.2,115729.2,115675.6,115729.2,3118,2.6954,311800,1,2025-09-13T19:35:00Z,"{'open': 115715.2, 'high': 115729.2, 'low': 115675.6, 'close': 115729.2}",True,0.0001,66.60740642531178,58.98738107844838,56.40017137342088,2.5872097050274974,115730.5511630905,115611.525,115492.4988369095,238.05232618100126,0.994324092050794,62.08107821926177,100.0,94.69086021505451,-0.0,152.5379073283375,115619.49764559181,40.54604278452288,91178,101.09999999999127,0.1523107971047102,False,False,False,False,False,False,False
1757792400000,115732.5,115732.5,115724.2,115724.2,1315,1.1368,131500,1,2025-09-13T19:40:00Z,"{'open': 115732.5, 'high': 115732.5, 'low': 115724.2, 'close': 115724.2}",True,0.0001,65.85393189860221,60.79571401607245,57.2792799019512,3.516434114121253,115740.39630001005,115622.56000000001,115504.72369998998,235.67260002007242,0.9312762705182024,58.23957263217186,95.89920948616445,98.63306982872149,-4.100790513835548,161.9767188212526,115640.63665007462,39.47940854833239,89863,85.80000000000291,0.10440860354573789,False,False,False,False,False,False,False
1757792700000,115724.2,115775.9,115718.5,115718.5,16237,14.0298,1623700,1,2025-09-13T19:45:00Z,"{'open': 115724.2, 'high': 115775.9, 'low': 115718.5, 'close': 115718.5}",True,0.0001,64.95188863102184,61.06496957669151,58.03641783689926,3.028551739792249,115749.92066891727,115631.51999999999,115513.11933108271,236.80133783456404,0.8673121140083132,58.17960315844488,74.21383647798902,90.03768198805115,-25.786163522010977,161.0044166542769,115670.96460794976,50.97434215529128,73626,70.5,0.07818168766934176,False,False,False,False,False,False,False
