timestamp,open,high,low,close,volume,time_iso,ohlc,is_closed
1757779200000,115786.7,115836.8,115126.0,115303.0,0,2025-09-13T16:00:00Z,"{'open': 115786.7, 'high': 115836.8, 'low': 115126.0, 'close': 115303.0}",True
1757764800000,115991.5,116079.0,115619.4,115786.7,1,2025-09-13T12:00:00Z,"{'open': 115991.5, 'high': 116079.0, 'low': 115619.4, 'close': 115786.7}",True
1757750400000,115807.7,116212.2,115803.3,115991.5,1,2025-09-13T08:00:00Z,"{'open': 115807.7, 'high': 116212.2, 'low': 115803.3, 'close': 115991.5}",True
1757736000000,115988.7,115988.7,115687.0,115807.7,1,2025-09-13T04:00:00Z,"{'open': 115988.7, 'high': 115988.7, 'low': 115687.0, 'close': 115807.7}",True
1757721600000,116073.0,116310.7,115616.5,115988.8,1,2025-09-13T00:00:00Z,"{'open': 116073.0, 'high': 116310.7, 'low': 115616.5, 'close': 115988.8}",True
1757707200000,116686.5,116686.5,115774.8,116073.0,1,2025-09-12T20:00:00Z,"{'open': 116686.5, 'high': 116686.5, 'low': 115774.8, 'close': 116073.0}",True
1757692800000,115092.0,116711.2,114996.6,116687.1,1,2025-09-12T16:00:00Z,"{'open': 115092.0, 'high': 116711.2, 'low': 114996.6, 'close': 116687.1}",True
1757678400000,114903.7,115461.7,114727.2,115092.0,1,2025-09-12T12:00:00Z,"{'open': 114903.7, 'high': 115461.7, 'low': 114727.2, 'close': 115092.0}",True
1757664000000,115079.1,115280.0,114870.3,114903.7,1,2025-09-12T08:00:00Z,"{'open': 115079.1, 'high': 115280.0, 'low': 114870.3, 'close': 114903.7}",True
1757649600000,115194.9,115654.8,115067.9,115079.3,1,2025-09-12T04:00:00Z,"{'open': 115194.9, 'high': 115654.8, 'low': 115067.9, 'close': 115079.3}",True
1757635200000,115480.1,116311.6,115039.9,115195.3,1,2025-09-12T00:00:00Z,"{'open': 115480.1, 'high': 116311.6, 'low': 115039.9, 'close': 115195.3}",True
1757620800000,114404.8,115482.7,114227.6,115480.2,1,2025-09-11T20:00:00Z,"{'open': 114404.8, 'high': 115482.7, 'low': 114227.6, 'close': 115480.2}",True
1757606400000,114154.8,114601.0,114081.1,114400.4,1,2025-09-11T16:00:00Z,"{'open': 114154.8, 'high': 114601.0, 'low': 114081.1, 'close': 114400.4}",True
1757592000000,113999.6,114713.1,113397.6,114154.8,1,2025-09-11T12:00:00Z,"{'open': 113999.6, 'high': 114713.1, 'low': 113397.6, 'close': 114154.8}",True
1757577600000,114076.4,114186.3,113752.2,113999.5,1,2025-09-11T08:00:00Z,"{'open': 114076.4, 'high': 114186.3, 'low': 113752.2, 'close': 113999.5}",True
1757563200000,114384.1,114444.7,113933.3,114076.4,1,2025-09-11T04:00:00Z,"{'open': 114384.1, 'high': 114444.7, 'low': 113933.3, 'close': 114076.4}",True
1757548800000,113936.4,114421.0,113635.1,114384.1,1,2025-09-11T00:00:00Z,"{'open': 113936.4, 'high': 114421.0, 'low': 113635.1, 'close': 114384.1}",True
1757534400000,113541.8,114005.4,113494.9,113936.4,1,2025-09-10T20:00:00Z,"{'open': 113541.8, 'high': 114005.4, 'low': 113494.9, 'close': 113936.4}",True
1757520000000,113830.7,114060.1,113112.2,113544.6,1,2025-09-10T16:00:00Z,"{'open': 113830.7, 'high': 114060.1, 'low': 113112.2, 'close': 113544.6}",True
1757505600000,112280.7,114292.3,112280.7,113830.7,1,2025-09-10T12:00:00Z,"{'open': 112280.7, 'high': 114292.3, 'low': 112280.7, 'close': 113830.7}",True
1757491200000,112484.5,112813.1,112062.1,112280.7,1,2025-09-10T08:00:00Z,"{'open': 112484.5, 'high': 112813.1, 'low': 112062.1, 'close': 112280.7}",True
1757476800000,111496.8,112537.9,111330.2,112484.5,1,2025-09-10T04:00:00Z,"{'open': 111496.8, 'high': 112537.9, 'low': 111330.2, 'close': 112484.5}",True
1757462400000,111497.1,111543.0,110877.5,111490.1,1,2025-09-10T00:00:00Z,"{'open': 111497.1, 'high': 111543.0, 'low': 110877.5, 'close': 111490.1}",True
1757448000000,111259.4,111679.3,111032.5,111497.1,1,2025-09-09T20:00:00Z,"{'open': 111259.4, 'high': 111679.3, 'low': 111032.5, 'close': 111497.1}",True
1757433600000,110830.9,111355.8,110735.7,111261.1,1,2025-09-09T16:00:00Z,"{'open': 110830.9, 'high': 111355.8, 'low': 110735.7, 'close': 111261.1}",True
1757419200000,112399.4,112921.4,110722.2,110830.9,1,2025-09-09T12:00:00Z,"{'open': 112399.4, 'high': 112921.4, 'low': 110722.2, 'close': 110830.9}",True
1757404800000,112961.0,113140.3,112378.4,112399.3,1,2025-09-09T08:00:00Z,"{'open': 112961.0, 'high': 113140.3, 'low': 112378.4, 'close': 112399.3}",True
1757390400000,111669.0,113255.8,111589.8,112961.0,1,2025-09-09T04:00:00Z,"{'open': 111669.0, 'high': 113255.8, 'low': 111589.8, 'close': 112961.0}",True
1757376000000,112030.1,112066.0,111075.5,111669.0,1,2025-09-09T00:00:00Z,"{'open': 112030.1, 'high': 112066.0, 'low': 111075.5, 'close': 111669.0}",True
1757361600000,112030.7,112481.7,111850.9,112030.1,1,2025-09-08T20:00:00Z,"{'open': 112030.7, 'high': 112481.7, 'low': 111850.9, 'close': 112030.1}",True
1757347200000,112587.6,112631.9,111925.2,112028.9,1,2025-09-08T16:00:00Z,"{'open': 112587.6, 'high': 112631.9, 'low': 111925.2, 'close': 112028.9}",True
1757332800000,112002.2,112877.7,111820.4,112587.5,1,2025-09-08T12:00:00Z,"{'open': 112002.2, 'high': 112877.7, 'low': 111820.4, 'close': 112587.5}",True
1757318400000,111220.3,112136.7,111196.6,112002.2,1,2025-09-08T08:00:00Z,"{'open': 111220.3, 'high': 112136.7, 'low': 111196.6, 'close': 112002.2}",True
1757304000000,110997.9,111559.2,110852.5,111220.3,1,2025-09-08T04:00:00Z,"{'open': 110997.9, 'high': 111559.2, 'low': 110852.5, 'close': 111220.3}",True
1757289600000,111086.9,111331.2,110558.4,110997.9,1,2025-09-08T00:00:00Z,"{'open': 111086.9, 'high': 111331.2, 'low': 110558.4, 'close': 110997.9}",True
1757275200000,111222.3,111559.8,110956.6,111086.9,1,2025-09-07T20:00:00Z,"{'open': 111222.3, 'high': 111559.8, 'low': 110956.6, 'close': 111086.9}",True
1757260800000,111278.4,111316.8,110823.7,111222.4,1,2025-09-07T16:00:00Z,"{'open': 111278.4, 'high': 111316.8, 'low': 110823.7, 'close': 111222.4}",True
1757246400000,111256.3,111374.0,111003.6,111278.5,1,2025-09-07T12:00:00Z,"{'open': 111256.3, 'high': 111374.0, 'low': 111003.6, 'close': 111278.5}",True
1757232000000,110722.6,111341.5,110687.5,111256.4,1,2025-09-07T08:00:00Z,"{'open': 110722.6, 'high': 111341.5, 'low': 110687.5, 'close': 111256.4}",True
1757217600000,110622.5,110886.8,110430.5,110722.6,1,2025-09-07T04:00:00Z,"{'open': 110622.5, 'high': 110886.8, 'low': 110430.5, 'close': 110722.6}",True
1757203200000,110170.4,110714.4,110158.0,110622.5,1,2025-09-07T00:00:00Z,"{'open': 110170.4, 'high': 110714.4, 'low': 110158.0, 'close': 110622.5}",True
1757188800000,110010.7,110275.7,110001.3,110170.4,1,2025-09-06T20:00:00Z,"{'open': 110010.7, 'high': 110275.7, 'low': 110001.3, 'close': 110170.4}",True
1757174400000,110345.9,110371.5,109931.9,110010.7,1,2025-09-06T16:00:00Z,"{'open': 110345.9, 'high': 110371.5, 'low': 109931.9, 'close': 110010.7}",True
1757160000000,110754.0,110973.3,110312.1,110345.9,1,2025-09-06T12:00:00Z,"{'open': 110754.0, 'high': 110973.3, 'low': 110312.1, 'close': 110345.9}",True
1757145600000,110782.2,110928.8,110645.1,110754.0,1,2025-09-06T08:00:00Z,"{'open': 110782.2, 'high': 110928.8, 'low': 110645.1, 'close': 110754.0}",True
1757131200000,111047.7,111048.0,110654.6,110782.2,1,2025-09-06T04:00:00Z,"{'open': 111047.7, 'high': 111048.0, 'low': 110654.6, 'close': 110782.2}",True
1757116800000,110629.7,111277.7,110509.3,111047.7,1,2025-09-06T00:00:00Z,"{'open': 110629.7, 'high': 111277.7, 'low': 110509.3, 'close': 111047.7}",True
1757102400000,111564.1,111657.1,110353.5,110629.7,1,2025-09-05T20:00:00Z,"{'open': 111564.1, 'high': 111657.1, 'low': 110353.5, 'close': 110629.7}",True
